pid,year,provcd,age_,age2,gen,mar,rural,medsure_dum,edu,educ,wage,lnwage,inc1,job
100051502,2022,11,56,3136,1,1,1,1,3,12,60000,11.002116,58733.332,1
110147102,2022,44,40,1600,0,0,1,1,6,19,1800000,14.403297,1900000,1
120009102,2022,12,31,961,0,1,0,1,5,16,153500,11.941463,83333.336,1
130155103,2022,13,35,1225,1,1,1,1,2,9,93000,11.440366,21550,1
130281103,2022,13,34,1156,1,1,0,1,5,16,200000,12.206078,50000,1
100765701,2022,13,29,841,1,1,1,0,2,9,50000,10.819798,56400,1
130517101,2022,13,52,2704,1,1,1,1,2,9,40000,10.59666,32666.666,1
130815105,2022,13,41,1681,0,1,0,1,3,12,12000,9.392745,20500,1
101129501,2022,13,32,1024,0,1,1,1,2,9,5000,8.5173931,16100,0
130897431,2022,13,49,2401,1,1,1,1,1,6,55000,10.915107,25000,1
140093103,2022,14,33,1089,0,0,1,1,2,9,48000,10.778977,33333.332,1
140676103,2022,14,33,1089,0,1,1,1,2,9,6000,8.6996813,9375,1
140668105,2022,11,37,1369,1,1,1,1,2,9,100000,11.512936,25700,1
140838103,2022,14,30,900,1,1,0,1,3,12,60000,11.002116,24000,1
210413101,2022,21,45,2025,0,1,1,1,1,6,50000,10.819798,17180,1
210761104,2022,44,32,1024,1,0,1,1,4,15,200000,12.206078,180000,1
211584103,2022,21,35,1225,1,1,0,1,5,16,73000,11.198229,36750,1
220195103,2022,51,38,1444,1,1,0,0,5,16,300000,12.611541,300000,1
230103103,2022,23,30,900,1,0,1,1,5,16,60000,11.002116,110000,1
230327102,2022,23,61,3721,0,0,1,1,1,6,23000,10.043293,28000,0
311299104,2022,31,44,1936,0,1,1,1,2,9,34680,10.453947,75666.664,1
312144106,2022,31,40,1600,1,1,1,1,3,12,100000,11.512936,80000,1
107435501,2022,34,47,2209,0,1,1,1,2,9,70000,11.156265,313333.34,1
340342104,2022,34,36,1296,0,1,1,1,2,9,25000,10.126671,15016.667,1
360160104,2022,35,43,1849,1,1,1,1,2,9,104587,11.557784,66666.664,1
360278103,2022,44,31,961,1,1,0,1,4,15,133500,11.801865,38600,1
370212103,2022,37,35,1225,0,1,0,1,4,15,35000,10.463132,50000,1
410142104,2022,41,44,1936,0,1,1,1,3,12,39500,10.584082,14000,1
410568107,2022,41,30,900,1,1,1,1,1,6,50000,10.819798,9285.7139,1
410134104,2022,41,35,1225,1,1,1,1,3,12,54000,10.896758,12333.333,1
410969104,2022,41,36,1296,0,1,1,0,2,9,60000,11.002116,20000,1
411010102,2022,41,56,3136,1,1,1,1,1,6,12000,9.392745,16400,1
411059103,2022,41,34,1156,0,1,1,1,2,9,34200,10.44001,16500,1
410426105,2022,65,32,1024,0,1,1,1,3,12,40000,10.59666,40000,0
411172101,2022,41,49,2401,0,1,1,1,1,6,13800,9.5324965,25000,1
410447104,2022,41,25,625,0,1,1,1,2,9,37600,10.534786,28571.428,1
110023101,2022,11,46,2116,1,1,1,1,5,16,70000,11.156265,25000,1
110026102,2022,11,49,2401,1,1,0,1,5,16,210000,12.254868,106000,1
110067101,2022,11,36,1296,0,0,1,1,5,16,230000,12.345839,230000,1
110079101,2022,11,54,2916,1,1,1,0,1,6,20400,9.9233389,24400,1
410935104,2022,11,45,2025,0,1,1,1,0,0,48000,10.778977,50000,1
110108103,2022,11,39,1521,1,1,1,0,4,15,150000,11.918397,96000,1
110124101,2022,11,42,1764,1,1,0,1,5,16,144000,11.877576,93333.336,1
110147101,2022,11,40,1600,0,1,1,1,6,19,314000,12.657151,245200,1
110165101,2022,11,50,2500,0,1,1,1,3,12,42000,10.645449,64600,1
411004103,2022,41,46,2116,1,1,1,1,2,9,40000,10.59666,14150,1
411110104,2022,44,38,1444,1,0,1,1,2,9,70000,11.156265,75000,1
411124103,2022,41,36,1296,1,1,1,0,4,15,120000,11.695255,50000,1
411314103,2022,41,28,784,0,1,1,1,4,15,21400,9.9711933,47850,1
411542101,2022,44,43,1849,1,1,1,1,1,6,70000,11.156265,72100,1
430390101,2022,43,38,1444,0,1,1,1,3,12,30000,10.308986,22500,1
411578103,2022,41,29,841,0,1,1,1,2,9,27800,10.232827,41516.668,1
110754501,2022,41,31,961,1,1,1,1,2,9,65000,11.082158,16000,1
430556104,2022,43,38,1444,0,1,1,1,2,9,25000,10.126671,40000,1
411880103,2022,41,34,1156,1,0,1,1,5,16,50000,10.819798,53000,1
420310105,2022,31,33,1089,0,1,1,1,5,16,500000,13.122365,500000,1
440512107,2022,44,28,784,0,1,1,1,1,6,24000,10.085851,6000,1
440519105,2022,44,30,900,1,0,1,1,5,16,78000,11.264477,78300,1
440560104,2022,44,40,1600,0,1,1,1,1,6,12000,9.392745,20832,1
430442104,2022,44,42,1764,0,1,1,1,2,9,67200,11.115443,75000,1
430509104,2022,44,46,2116,0,1,0,1,3,12,64500,11.074436,35071.25,1
430545105,2022,43,49,2401,1,1,1,1,2,9,66000,11.097425,40000,1
430712106,2022,44,42,1764,0,1,1,1,5,16,300000,12.611541,100000,1
441569106,2022,44,50,2500,0,0,1,1,4,15,30000,10.308986,50000,1
441650103,2022,44,31,961,1,1,1,1,2,9,54000,10.896758,60300,1
441814106,2022,44,24,576,1,0,1,0,3,12,73000,11.198229,50000,1
441820106,2022,44,30,900,1,0,1,1,1,6,71500,11.177466,71500,1
450246103,2022,45,44,1936,1,1,0,1,2,9,35000,10.463132,25733.334,1
112640551,2022,45,36,1296,1,1,1,1,5,16,120000,11.695255,50000,1
441284104,2022,44,26,676,1,1,1,1,2,9,63000,11.050906,102500,1
441893104,2022,44,43,1849,1,1,1,1,3,12,80000,11.289794,20000,1
441966102,2022,44,43,1849,1,1,1,1,3,12,230000,12.345839,60000,1
520044104,2022,32,24,576,1,0,1,1,3,12,90000,11.407576,130000,1
450171106,2022,45,37,1369,0,1,1,1,2,9,30000,10.308986,18333.334,1
520504103,2022,52,27,729,0,1,1,1,4,15,16000,9.6804066,16000,1
620452105,2022,43,26,676,0,1,1,1,2,9,5400,8.5943394,64000,1
115788432,2022,32,36,1296,1,1,1,1,2,9,104000,11.552155,30000,1
621341102,2022,62,41,1681,1,0,1,1,2,9,57600,10.961295,20750,1
530207103,2022,53,30,900,0,1,1,1,4,15,51600,10.851296,19200,1
610241103,2022,44,36,1296,1,1,1,1,2,9,60000,11.002116,60000,1
440781105,2022,44,32,1024,1,1,1,1,3,12,110000,11.608245,31750,1
120096104,2022,12,41,1681,0,1,0,1,2,9,36000,10.491302,24250,1
620341103,2022,65,40,1600,1,1,1,1,2,9,10000,9.2104406,8333.333,1
620457103,2022,62,35,1225,1,1,1,1,2,9,12000,9.392745,15575,1
130417104,2022,13,35,1225,0,1,1,1,1,6,20000,9.9035378,20250,1
130873104,2022,13,34,1156,0,1,1,1,0,0,1000,6.9087548,4166.6665,1
140001103,2022,14,27,729,0,1,1,1,4,15,50000,10.819798,50000,0
140088104,2022,14,42,1764,1,1,1,1,2,9,70000,11.156265,100600,1
140542101,2022,14,55,3025,0,1,1,1,2,9,10200,9.2302408,8350,0
